Dataset,k,MSE,R2 Score
Tanpa Outlier,3,900890616.9777778,0.6355589388564479
Standard Scaled,3,0.26910861635709765,0.7676997470514519
MinMax Scaled,3,0.011189989760119439,0.7610178560768696
Tanpa Outlier,5,789535283.3138182,0.680605979195962
Standard Scaled,5,0.25996654937126074,0.7755913727527428
MinMax Scaled,5,0.010944096402701085,0.7662693462919659
Tanpa Outlier,7,833467306.3469387,0.6628339735932349
Standard Scaled,7,0.2514862179058954,0.7829117743480518
MinMax Scaled,7,0.011426841498033377,0.7559594657358593
